Datum;Pfingsten_ext
2013-05-19;1
2013-05-20;1
2014-06-07;1
2014-06-08;1
2014-06-09;1
2014-06-10;1
2015-05-23;1
2015-05-24;1
2015-05-25;1
2015-05-26;1
2016-05-14;1
2016-05-15;1
2016-05-16;1
2016-05-17;1
2017-06-03;1
2017-06-04;1
2017-06-05;1
2017-06-06;1
2018-05-19;1
2018-05-20;1
2018-05-22;1
2019-06-08;1
2019-06-09;1
2019-06-10;1
2019-06-11;1
;
;
;
;
;
